date,home_team,away_team,home_outcome,avg_odd_home_win,avg_odd_draw,avg_odd_away_win,home_ranking,away_ranking,last_home_result,last_away_result
20/03/2016,19,13,2,7.471,3.168,2.797,7,6,1,1
20/03/2016,23,2,2,6.868,3.891,5.938,5,19,-1,1
02/04/2016,0,24,2,6.717,4.641,8.434,3,18,1,-1
02/04/2016,2,14,0,8.341,3.511,2.241,18,2,-1,-1
02/04/2016,13,23,1,7.285,3.237,2.873,6,5,-1,1
02/04/2016,18,17,2,7.159,3.171,3.35,20,15,-1,-1
02/04/2016,20,22,1,7.254,3.168,3.418,9,8,1,1
02/04/2016,21,25,1,7.174,3.136,3.674,16,13,-1,1
02/04/2016,26,7,1,6.88,3.294,3.859,12,10,0,1
03/04/2016,12,19,2,7.41,3.187,3.272,14,7,-1,-1
03/04/2016,15,8,2,7.165,3.246,3.62,4,11,1,1
09/04/2016,1,2,0,8.362,3.369,2.305,17,18,1,1
09/04/2016,7,18,2,7.145,3.21,3.6,10,18,0,0
09/04/2016,14,25,2,6.935,4.603,8.796,2,13,-1,1
09/04/2016,19,17,2,6.974,3.717,5.782,7,15,-1,-1
09/04/2016,22,6,2,8.489,3.442,2.236,8,1,1,-1
09/04/2016,24,8,1,8.276,3.315,2.367,20,11,0,1
09/04/2016,26,0,1,8.582,3.629,2.184,12,3,-1,-1
10/04/2016,13,20,2,6.781,3.656,5.418,6,9,1,1
10/04/2016,21,12,0,8.227,3.392,2.301,16,14,1,-1
10/04/2016,23,15,2,7.095,3.316,3.796,5,4,0,-1
13/04/2016,7,8,1,7.927,3.247,2.565,10,11,1,0
16/04/2016,6,14,0,7.972,3.283,2.702,1,2,0,1
16/04/2016,8,19,1,7.935,3.23,2.773,11,7,-1,0
16/04/2016,17,22,2,7.681,3.219,3.153,15,8,-1,1
16/04/2016,18,21,0,7.605,3.163,3.115,20,16,-1,-1
16/04/2016,25,24,0,7.71,3.055,3.213,13,18,1,1
17/04/2016,0,7,1,7.195,4.816,8.454,3,10,-1,-1
17/04/2016,2,13,0,8.622,3.445,2.296,20,6,-1,-1
17/04/2016,12,26,1,7.445,3.345,3.858,14,12,-1,1
18/04/2016,20,23,0,9.192,3.753,2.139,9,5,1,-1
